Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Average Temperature,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value,Time[s],Value
69600,24.07035999,69600,19.93378106,69600,22.60318052,69600,28.62782342,69600,26.02730314,69600,26.02727156,69600,22.04536495,69600,23.2246855,69600,23.2405971,69600,47.08206131,69600,0,69600,0,69600,0,69600,0,69600,0,69600,0,69600,0,69600,0
70800,24.02886607,70800,19.82385831,70800,22.51522928,70800,28.68107085,70800,26.02184452,70800,26.02176735,70800,21.93682696,70800,23.10641436,70800,23.12177874,70800,46.96968633,70800,0,70800,0,70800,0,70800,0,70800,0,70800,0,70800,0,70800,0
72000,23.97690031,72000,19.58960696,72000,22.42244559,72000,28.73171362,72000,26.01512552,72000,26.01497485,72000,21.83376395,72000,22.98838507,72000,23.0032565,72000,46.85546494,72000,0,72000,0,72000,0,72000,0,72000,0,72000,0,72000,0,72000,0
73200,23.96048791,73200,19.5362042,73200,22.3988829,73200,28.74068701,73200,26.01363738,73200,26.01346184,73200,21.81017764,73200,22.9659819,73200,22.98076908,73200,46.83387861,73200,0,73200,0,73200,0,73200,0,73200,0,73200,0,73200,0,73200,0
74400,23.92664737,74400,19.41615519,74400,22.33780945,74400,28.78189756,74400,26.00700293,74400,26.00694659,74400,21.72148555,74400,22.86570433,74400,22.88012491,74400,46.73731646,74400,0,74400,0,74400,0,74400,0,74400,0,74400,0,74400,0,74400,0
75600,23.89750317,75600,19.42418781,75600,22.30949908,75600,28.80008582,75600,26.00419334,75600,26.00422522,75600,21.67290758,75600,22.82310616,75600,22.83737994,75600,46.69646179,75600,0,75600,0,75600,0,75600,0,75600,0,75600,0,75600,0,75600,0
76800,23.85695399,76800,19.33599368,76800,22.22387154,76800,28.85109586,76800,25.99590913,76800,25.99609257,76800,21.56663822,76800,22.69980794,76800,22.71360418,76800,46.57788045,76800,0,76800,0,76800,0,76800,0,76800,0,76800,0,76800,0,76800,0
78000,23.79900172,78000,19.11112503,78000,22.13062092,78000,28.89894242,78000,25.98655909,78000,25.98675755,78000,21.45367113,78000,22.57709629,78000,22.590446,78000,46.45740199,78000,0,78000,0,78000,0,78000,0,78000,0,78000,0,78000,0,78000,0
79200,23.78396331,79200,19.06360558,79200,22.11078342,79200,28.90646626,79200,25.98479596,79200,25.98497296,79200,21.43874274,79200,22.55639727,79200,22.56968002,79200,46.43710115,79200,0,79200,0,79200,0,79200,0,79200,0,79200,0,79200,0,79200,0
80400,23.75183844,80400,18.94898358,80400,22.05330159,80400,28.94058648,80400,25.97713086,80400,25.97745261,80400,21.35314483,80400,22.46511109,80400,22.4781002,80400,46.347759,80400,0,80400,0,80400,0,80400,0,80400,0,80400,0,80400,0,80400,0
81600,23.71630711,81600,18.95749889,81600,22.01691423,81600,28.96546677,81600,25.97182174,81600,25.97238013,81600,21.29227715,81600,22.40219741,81600,22.41499768,81600,46.2863288,81600,0,81600,0,81600,0,81600,0,81600,0,81600,0,81600,0,81600,0
82800,23.67027639,82800,18.86254379,82800,21.93359012,82800,29.0139271,82800,25.96101988,82800,25.96196182,82800,21.17965233,82800,22.27546101,82800,22.28783938,82800,46.16224314,82800,0,82800,0,82800,0,82800,0,82800,0,82800,0,82800,0,82800,0
84000,23.61089602,84000,18.68866923,84000,21.85950277,84000,29.05962622,84000,25.949414,84000,25.9506202,84000,21.07183181,84000,22.14971296,84000,22.16170786,84000,46.03692336,84000,0,84000,0,84000,0,84000,0,84000,0,84000,0,84000,0,84000,0
85200,23.57828503,85200,18.62718597,85200,21.82083888,85200,29.08243841,85200,25.94327314,85200,25.94454337,85200,21.01492193,85200,22.08537907,85200,22.0972047,85200,45.97273822,85200,0,85200,0,85200,0,85200,0,85200,0,85200,0,85200,0,85200,0
86400,23.56455681,86400,18.62052618,86400,21.80344049,86400,29.09093832,86400,25.94102831,86400,25.94229846,86400,20.99038897,86400,22.06145668,86400,22.07321499,86400,45.94915491,86400,0,86400,0,86400,0,86400,0,86400,0,86400,0,86400,0,86400,0
87600,23.51826834,87600,18.53043468,87600,21.71481261,87600,29.13640006,87600,25.92882015,87600,25.93005237,87600,20.88547131,87600,21.93430412,87600,21.94570053,87600,45.8226609,87600,0,87600,0,87600,0,87600,0,87600,0,87600,0,87600,0,87600,0
88800,23.45639026,88800,18.30364333,88800,21.62457912,88800,29.17961182,88800,25.91561382,88800,25.91674338,88800,20.77941725,88800,21.80862881,88800,21.81971798,88800,45.6961766,88800,0,88800,0,88800,0,88800,0,88800,0,88800,0,88800,0,88800,0
90000,23.43844266,90000,18.25277412,90000,21.60166539,90000,29.1872482,90000,25.91293744,90000,25.91405288,90000,20.75978155,90000,21.78494212,90000,21.79598222,90000,45.67256882,90000,0,90000,0,90000,0,90000,0,90000,0,90000,0,90000,0,90000,0
91200,23.39739345,91200,18.14240682,91200,21.54038896,91200,29.22422931,91200,25.90053801,91200,25.90177858,91200,20.66567846,91200,21.67425799,91200,21.68508107,91200,45.56244258,91200,0,91200,0,91200,0,91200,0,91200,0,91200,0,91200,0,91200,0
92400,23.36370642,92400,18.15698268,92400,21.51333693,92400,29.23994423,92400,25.89561479,92400,25.89693346,92400,20.62062858,92400,21.62966413,92400,21.64040855,92400,45.51845925,92400,0,92400,0,92400,0,92400,0,92400,0,92400,0,92400,0,92400,0
93600,23.3176458,93600,18.08207836,93600,21.43043632,93600,29.28396945,93600,25.881371,93600,25.88280213,93600,20.51483369,93600,21.50113343,93600,21.51159017,93600,45.39171399,93600,0,93600,0,93600,0,93600,0,93600,0,93600,0,93600,0,93600,0
