Type,Value,Type,Value,Type,Value,Type,Value,Type,Value,Type,Value
Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_2 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_3 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_4 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_5 : TMD : BAGHEATERSHEHE_COLD_11LT,Data Source,Cold_11LTAN_Sceince_500_wBagHeater_Defrost_6 : TMD : BAGHEATERSHEHE_COLD_11LT
Element,272,Element,272,Element,272,Element,272,Element,272,Element,272
,,,,,,,,,,,
,,,,,,,,,,,
Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature,Time[s],Temperature
810.0,-8.287655156856065,810.0,-8.287655156856065,810.0,-4.528219678777261,810.0,1.1654614482334127,810.0,1.1654614482334127,810.0,1.1654614482334127
820.0,-8.240591643341851,820.0,-8.240591643341851,820.0,-4.469710321570216,820.0,1.2824555985611579,820.0,1.2824555985611579,820.0,1.2824555985611579
830.0,-8.194923203836646,830.0,-8.194923203836646,830.0,-4.411927674603578,830.0,1.3979963502207906,830.0,1.3979963502207906,830.0,1.3979963502207906
840.0,-8.150536611052823,840.0,-8.150536611052823,840.0,-4.354847140585008,840.0,1.5121328988857765,840.0,1.5121328988857765,840.0,1.5121328988857765
850.0,-8.107332372912365,850.0,-8.107332372912365,850.0,-4.2984454803776355,850.0,1.6249117238737176,850.0,1.6249117238737176,850.0,1.6249117238737176
860.0,-8.065222734824525,860.0,-8.065222734824525,860.0,-4.242700704721653,860.0,1.7363768047012598,860.0,1.7363768047012598,860.0,1.7363768047012598
870.0,-8.024129998561625,870.0,-8.024129998561625,870.0,-4.1875919771970445,870.0,1.8465698151569925,870.0,1.8465698151569925,870.0,1.8465698151569925
880.0,-7.983985105329945,880.0,-7.983985105329945,880.0,-4.13309952701977,880.0,1.9555302977057363,880.0,1.9555302977057363,880.0,1.9555302977057363
890.0,-7.944726439507272,890.0,-7.944726439507272,890.0,-4.079204570464435,890.0,2.063295820639197,890.0,2.063295820639197,890.0,2.063295820639197
900.0,-7.906298816875885,900.0,-7.906298816875885,900.0,-4.025889239875955,900.0,2.1699021200471478,900.0,2.1699021200471478,900.0,2.1699021200471478
910.0,-7.868652627273358,910.0,-7.868652627273358,910.0,-3.9731365193785435,910.0,2.2753832283964335,910.0,2.2753832283964335,910.0,2.2753832283964335
920.0,-7.8317431066343355,920.0,-7.8317431066343355,920.0,-3.920930186508256,920.0,2.379771591263623,920.0,2.379771591263623,920.0,2.379771591263623
930.0,-7.79552971758485,930.0,-7.79552971758485,930.0,-3.869254759099568,930.0,2.483098173561005,930.0,2.483098173561005,930.0,2.483098173561005
940.0,-7.75997562122677,940.0,-7.75997562122677,940.0,-3.818095446844097,940.0,2.585392556418841,940.0,2.585392556418841,940.0,2.585392556418841
950.0,-7.725047225634107,950.0,-7.725047225634107,950.0,-3.767438107014917,950.0,2.6866830257371466,950.0,2.6866830257371466,950.0,2.6866830257371466
960.0,-7.690713798979483,960.0,-7.690713798979483,960.0,-3.7172692039155484,960.0,2.7869966532895667,960.0,2.7869966532895667,960.0,2.7869966532895667
970.0,-7.656947137201137,970.0,-7.656947137201137,970.0,-3.667575771670007,970.0,2.8863593711498154,970.0,2.8863593711498154,970.0,2.8863593711498154
980.0,-7.62372127776888,980.0,-7.62372127776888,980.0,-3.618345380012351,980.0,2.9847960401220415,980.0,2.9847960401220415,980.0,2.9847960401220415
990.0,-7.591012252482418,990.0,-7.591012252482418,990.0,-3.5695661027738623,990.0,3.082330512774599,990.0,3.082330512774599,990.0,3.082330512774599
1000.0,-7.558797862480978,1000.0,-7.558797862480978,1000.0,-3.521226472362827,1000.0,3.178985724506743,1000.0,3.178985724506743,1000.0,3.178985724506743
1010.0,-7.527057546381482,1010.0,-7.527057546381482,1010.0,-3.4733155344411846,1010.0,3.274783584125746,1010.0,3.274783584125746,1010.0,3.274783584125746
1020.0,-7.4957721110808135,1020.0,-7.4957721110808135,1020.0,-3.4258226613342964,1020.0,3.3697453471783283,1020.0,3.3697453471783283,1020.0,3.3697453471783283
1030.0,-7.464923696520344,1030.0,-7.464923696520344,1030.0,-3.3787376891967895,1030.0,3.463891341496655,1030.0,3.463891341496655,1030.0,3.463891341496655
1040.0,-7.434495599092513,1040.0,-7.434495599092513,1040.0,-3.332050817261844,1040.0,3.5572411687665357,1040.0,3.5572411687665357,1040.0,3.5572411687665357
1050.0,-7.40447217308012,1050.0,-7.40447217308012,1050.0,-3.2857526036154754,1050.0,3.6498137129686183,1050.0,3.6498137129686183,1050.0,3.6498137129686183
1060.0,-7.374838734595509,1060.0,-7.374838734595509,1060.0,-3.239833946644611,1060.0,3.741627177481364,1060.0,3.741627177481364,1060.0,3.741627177481364
1070.0,-7.345581476647946,1070.0,-7.345581476647946,1070.0,-3.1942860677415243,1070.0,3.832699119671766,1070.0,3.832699119671766,1070.0,3.832699119671766
1080.0,-7.31668739382626,1080.0,-7.31668739382626,1080.0,-3.1491004951587818,1080.0,3.923046483185025,1080.0,3.923046483185025,1080.0,3.923046483185025
1090.0,-7.288144215311597,1090.0,-7.288144215311597,1090.0,-3.1042690489199907,1090.0,4.0126856281221075,1090.0,4.0126856281221075,1090.0,4.0126856281221075
1100.0,-7.259940345125996,1100.0,-7.259940345125996,1100.0,-3.059783826701592,1100.0,4.101632359276252,1100.0,4.101632359276252,1100.0,4.101632359276252
1110.0,-7.232064880053156,1110.0,-7.232064880053156,1110.0,-3.0156373036118986,1110.0,4.189901726621244,1110.0,4.189901726621244,1110.0,4.189901726621244
1120.0,-7.20450726858811,1120.0,-7.20450726858811,1120.0,-2.9718218556981557,1120.0,4.277508978099641,1120.0,4.277508978099641,1120.0,4.277508978099641
1130.0,-7.177257720078655,1130.0,-7.177257720078655,1130.0,-2.9283304643862675,1130.0,4.3644681510553545,1130.0,4.3644681510553545,1130.0,4.3644681510553545
1140.0,-7.150306854972042,1140.0,-7.150306854972042,1140.0,-2.885156213346796,1140.0,4.450793078286816,1140.0,4.450793078286816,1140.0,4.450793078286816
1150.0,-7.123645750031229,1150.0,-7.123645750031229,1150.0,-2.8422924054626435,1150.0,4.536497154168858,1150.0,4.536497154168858,1150.0,4.536497154168858
1160.0,-7.0972659064635115,1160.0,-7.0972659064635115,1160.0,-2.7997325531349158,1160.0,4.621593354040476,1160.0,4.621593354040476,1160.0,4.621593354040476
1170.0,-7.071159220964308,1170.0,-7.071159220964308,1170.0,-2.7574703691473714,1170.0,4.7060942524748315,1170.0,4.7060942524748315,1170.0,4.7060942524748315
1180.0,-7.0453179593498465,1180.0,-7.0453179593498465,1180.0,-2.7154997580502096,1180.0,4.790012040509992,1180.0,4.790012040509992,1180.0,4.790012040509992
